id,shape,color,cut,clarity,polish,symmetry,florescence
802,0,1,1,1,2,2,3
28673,8,3,1,0,2,1,4
49511,0,2,1,2,2,1,3
6194,0,1,2,1,2,2,4
28995,0,6,2,5,2,2,4
20057,0,3,2,1,2,2,4
53495,0,0,2,0,2,2,4
75788,7,3,1,2,1,0,4
31049,7,5,1,0,1,0,4
55758,0,5,2,2,2,2,4
56919,0,6,2,4,2,2,3
89386,4,2,0,2,1,0,4
92442,1,5,1,2,1,1,3
90343,0,6,2,2,2,1,3
106992,0,3,2,3,2,2,4
100694,0,2,1,5,2,1,4
13860,4,0,0,5,2,1,4
73205,0,6,1,3,2,2,4
25754,1,6,1,4,1,1,4
68312,0,2,3,2,2,2,4
60257,1,5,1,5,2,1,4
92331,0,2,2,5,2,2,4
17688,0,3,2,4,2,2,4
72164,0,4,2,0,2,2,4
109079,1,6,1,6,2,1,4
71805,7,6,1,3,2,1,2
2061,7,5,1,3,2,0,4
93782,9,4,1,1,2,2,3
25841,5,4,1,0,1,1,4
87471,0,4,2,3,2,2,4
95132,0,2,1,0,1,1,3
98625,2,3,0,2,1,1,4
8499,0,5,2,0,2,2,4
15184,0,2,2,2,2,2,2
94768,0,6,1,3,1,1,4
82320,5,2,1,0,2,1,4
74995,1,5,1,2,1,1,3
11225,0,2,2,2,2,2,4
39005,0,1,2,0,2,2,4
18298,9,4,1,5,1,1,4
28924,0,6,2,4,2,2,3
51755,7,4,1,4,2,1,4
64364,0,2,2,1,2,2,4
115570,8,1,1,4,2,1,3
69503,4,2,1,3,2,1,4
112592,4,6,1,1,2,2,4
44067,0,5,1,0,1,1,3
84969,0,1,2,2,2,2,3
107465,0,2,2,0,2,2,4
73720,0,6,2,3,2,2,3
10315,0,4,2,5,2,2,2
54377,8,2,3,4,2,1,4
104340,0,6,2,1,2,2,4
101956,0,1,2,0,2,2,4
77702,2,1,1,0,2,1,2
67060,0,4,2,4,2,2,4
33751,0,6,2,5,2,2,4
68899,4,4,0,1,2,0,4
30835,0,5,2,4,2,2,4
